,hurricane_id,date,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year,name
288,289,19800904,1800,TD,28.3N,90.6W,25,1010,28.05,-90.1,1980,Danielle
289,290,19800906,0,TD,12.5N,19.0W,25,1010,12.08,-19.0,1980,Frances
290,291,19800920,1200,TD,14.6N,77.2W,25,1008,14.1,-77.03,1980,Hermine
291,292,19801001,0,EX,33.6N,20.0W,25,1010,33.1,-20.0,1980,Ivan
292,293,19801107,1800,DB,13.6N,82.6W,20,1008,13.1,-82.1,1980,Jeanne
293,294,19801125,0,SS,36.0N,46.0W,50,988,36.0,-46.0,1980,Karl
294,295,19810406,1200,TD,21.0N,61.5W,25,-999,21.0,-61.08,1981,Unnamed
295,296,19810506,1800,TD,18.4N,83.6W,30,1006,18.07,-83.1,1981,Arlene
296,297,19810629,1200,SS,36.0N,65.0W,35,1012,36.0,-65.0,1981,Bret
297,298,19810802,1800,SD,36.1N,67.8W,30,1010,36.02,-67.13,1981,Cindy
298,299,19810807,600,TD,10.5N,25.7W,30,1009,10.08,-25.12,1981,Dennis
299,300,19810831,1200,SD,29.8N,72.7W,30,1008,29.13,-72.12,1981,Emily
300,301,19810903,1200,TD,16.2N,60.3W,20,1010,16.03,-60.05,1981,Floyd
301,302,19810907,0,TD,14.8N,54.0W,25,1013,14.13,-54.0,1981,Gert
